ORIGINAL	0.923	5.126122423191378	11.483 (35.764)
all	0.851	4.831646199805771	11.430 (33.824)
no	0.865	4.637952744001862	11.567 (30.728)
only	0.892	5.083660320747111	11.254 (32.299)
not	0.884	4.216604538230347	11.926 (37.973)
I	0.902	4.798383901827826	10.097 (28.727)
We	0.906	4.8210729856697006	9.843 (32.088)
your	0.912	4.831903354279779	12.928 (39.995)
go	0.914	5.019527687348116	11.367 (31.091)
market	0.921	5.05846641060662	12.697 (36.167)
now	0.911	5.028566541962458	11.815 (35.068)
right	0.917	5.040924017455596	11.104 (31.401)
more	0.917	4.948446993097019	10.846 (30.760)
percent	0.913	5.027114430491345	11.183 (31.700)
what	0.915	4.948590397834778	10.489 (29.647)
still	0.919	5.066460447125673	12.470 (36.385)
going	0.918	5.103908535386424	12.970 (38.638)
many	0.916	5.0014976492683125	12.178 (36.765)
did	0.917	5.079294466447466	12.364 (34.033)
last	0.918	5.050409315906269	11.587 (31.358)
even	0.917	5.099396362635768	11.721 (33.551)
have	0.917	5.0250674155079444	11.563 (36.537)
you	0.918	4.8195636874028525	11.721 (33.624)
me	0.913	4.8662846223163365	11.199 (28.911)
any	0.918	4.993129740268068	10.947 (31.760)
team	0.919	5.021617819201028	11.868 (36.165)
has	0.918	4.963883383813094	10.466 (28.007)
well	0.917	5.075169384227174	11.173 (29.561)
say	0.923	5.002555368009207	11.126 (30.833)
should	0.917	5.105534098796376	12.374 (37.378)
says	0.922	5.011912282597302	11.342 (33.704)
will	0.912	5.051635622170696	11.080 (30.507)
such	0.923	5.058494887041097	11.783 (34.234)
just	0.911	5.102227483130834	11.420 (32.227)
âĢĶ	0.921	5.074872126526796	10.649 (33.756)
Ŀ	0.918	4.941003702536768	10.295 (36.065)
S	0.923	4.865526801897851	11.070 (39.008)
much	0.922	5.061942438065854	11.706 (35.117)
if	0.917	5.002292566790003	11.565 (35.479)
would	0.914	5.097536271755015	13.204 (41.122)
need	0.920	5.091546705069933	11.214 (28.912)
part	0.923	4.933493754603315	11.446 (34.924)
which	0.920	5.074338772153571	11.818 (37.141)
said	0.921	5.0044967291417715	10.344 (28.487)
very	0.921	5.049468600376494	12.306 (33.154)
some	0.924	4.94635027995259	12.304 (38.634)
also	0.922	5.021917805946247	11.579 (38.882)
don	0.921	5.068606232304779	12.192 (35.617)
most	0.920	4.918344603666908	11.917 (33.069)
had	0.920	4.954047901664721	11.759 (38.648)
so	0.923	5.008160812889086	11.964 (33.551)
The	0.925	4.977324236610196	10.378 (31.248)
than	0.919	5.001091750166761	10.303 (27.406)
